id;name;host_id;neighbourhood_group;latitude;longitude;is_entire_home;price;number_of_reviews;last_review
19331077;Bonita Habitación  en Casco Antiguo/Macarena;10726249;Casco Antiguo;37.40099;-5.98737;false;31;1;15/04/2018
19341882;Magnificient apartment in Seville city centre;37172559;Casco Antiguo;37.39526;-5.98618;true;30;58;23/12/2020
19361070;HABITACION INDIVIDUAL CENTRICA;27995927;San Pablo - Santa Justa;37.39361;-5.98112;false;24;61;07/01/2020
19376646;OASIS in Sevilla center;35325344;Casco Antiguo;37.39253;-5.98771;true;38;35;10/03/2020
19382404;Apartamento centrico. PARKING GRATIS/FREE PARKING;135862691;Casco Antiguo;37.39609;-5.99055;true;50;222;21/02/2021
19383150;Increible piso en el centro de Sevilla;135867871;Casco Antiguo;37.38734;-5.98648;true;56;72;01/01/2021
19415843;Alameda´ Apartment 1 dormitorio, cool place !;16543266;Casco Antiguo;37.40029;-5.99612;true;80;1;30/09/2018
19423121;Renovated&Cozy Apartment in Triana with Parking;190950254;Triana;37.38478;-6.00576;true;160;5;17/10/2018
19451764;Beautiful house by the River in front of Cathedral;136397071;Triana;37.38226;-5.99813;true;138;210;30/08/2020
19504070;Disfruta la ciudad, disfruta tu espacio;15233676;Macarena;37.4065;-5.9755;true;41;99;09/10/2020
19517028;Macarena Rooms;110823918;Macarena;37.40845;-5.98686;false;33;18;03/11/2019
19537818;TYP Sevilla - Penthouse with hot tube on terrace;56904672;Nervión;37.38999;-5.98367;true;150;52;11/10/2020
19561823;Ático-dúplex en Casa Sevillana...;113634969;Casco Antiguo;37.39798;-5.99306;true;75;1;23/02/2020
19582152;Rodo. 4 bedrooms, terrace, outdoor tub, views;77458769;Casco Antiguo;37.38528;-5.99742;true;153;76;12/03/2020
19591830;Light and tranquility Barrio Sta CruzVFT/SE/01936;137721964;Casco Antiguo;37.38443;-5.99023;true;42;110;27/09/2020
19651408;Lujoso Apto. en pleno centro de Sevilla;138301202;Casco Antiguo;37.39223;-5.99404;true;150;6;06/10/2019
19660119;Habitación doble privada  luminosa,sevilla capital;22171469;Palmera - Bellavista;37.32367;-5.96788;false;24;11;08/12/2019
19684051;Entire 3-Level House on the Banks of the Guadalquivir River;624340;Triana;37.3884;-6.00606;true;160;129;25/10/2020
19691280;Casa Rosario;138709001;Sur;37.36696;-5.97611;false;26;52;21/10/2020
19691611;Apartment in House Palatial. Center of Seville;138710774;Casco Antiguo;37.38763;-5.99303;true;40;41;20/02/2020
19697112;APART. DE 1DORM. CON VISTAS A LA CATEDRAL;3952052;Casco Antiguo;37.38493;-5.99464;true;53;17;24/10/2020
19709333;Olivares. 2 bedrooms and 2 bathrooms in Triana;81856384;Triana;37.38056;-6.00877;true;70;10;22/01/2020
